Word	Count	Emotions
the	64023	
and	51696	
of	34670	
to	13580	
that	12912	
in	12667	
he	10419	
shall	9838	
unto	8997	
for	8971	
i	8854	
his	8473	
a	8177	
lord	7944	disgust, negative, positive, trust
they	7376	
be	7013	
is	6989	
not	6780	
him	6659	
them	6430	
it	6129	
with	6012	
all	5620	
thou	5474	
thy	4600	
was	4522	
god	4467	anticipation, fear, joy, positive, trust
which	4413	
my	4368	
me	4096	
said	3999	
but	3992	
ye	3983	
their	3942	
have	3904	
will	3836	
thee	3826	
from	3642	
as	3520	
are	2950	
when	2834	
this	2785	
out	2775	
were	2772	
upon	2748	
man	2728	
by	2625	
you	2614	
israel	2571	
king	2505	positive
son	2388	
up	2380	
there	2299	
hath	2264	
then	2169	
people	2143	
came	2093	
had	2026	
house	2024	
into	2015	
on	2011	
her	1995	
come	1971	
one	1969	
we	1844	
children	1818	
before	1796	
your	1785	
also	1769	
day	1740	
land	1718	positive
an	1699	
so	1689	
men	1673	
against	1667	
shalt	1616	
if	1595	
at	1570	
let	1511	
go	1492	
hand	1466	
us	1448	
saying	1445	
made	1405	
went	1400	
no	1394	
even	1393	
do	1368	
now	1356	
behold	1326	
saith	1262	
therefore	1237	
every	1236	
these	1225	
because	1209	
after	1179	
our	1171	
things	1162	
down	1125	
or	1122	
father	1111	trust
sons	1090	
hast	1070	
o	1065	
david	1058	
make	1056	
say	1056	
may	1027	
over	1008	
did	1006	
earth	987	
what	985	
jesus	983	
she	982	
who	968	
great	962	
name	955	
thine	938	
among	916	
away	915	
any	912	
put	911	
thereof	906	
forth	888	
give	880	
neither	879	
take	874	
am	874	
city	868	
days	865	
brought	863	
moses	851	
two	835	
heart	833	
pass	830	
judah	816	
jerusalem	813	
according	797	
should	783	
whom	763	
know	763	
nor	755	
took	750	
thus	737	
bring	725	
offering	724	trust
good	720	anticipation, joy, positive, surprise, trust
place	716	
word	699	positive, trust
set	695	
more	686	
sent	685	
yet	683	
again	672	
like	669	
way	664	
eat	655	positive
mine	649	
heard	641	
called	634	
about	632	
time	623	anticipation
evil	613	anger, disgust, fear, negative, sadness
egypt	611	
holy	611	positive
see	597	
own	596	
hundred	590	
spake	587	
heaven	583	
christ	570	
done	565	
brethren	564	
many	556	
hear	550	
fire	549	fear
saw	548	
fathers	548	
words	546	anger, negative
how	543	
thing	542	
years	539	
priest	539	positive, trust
himself	527	
law	523	trust
thousand	520	
speak	513	
off	507	
spirit	505	positive
voice	505	
eyes	502	
cast	501	
given	498	
servant	496	negative, trust
art	494	anticipation, joy, positive, sadness, surprise
answered	492	
three	485	
together	484	
than	482	
servants	480	
ever	476	
might	475	
gave	465	
those	465	
other	464	
seven	463	
through	463	
hands	462	
soul	459	
another	453	
would	451	
life	450	
cities	448	
sin	447	anger, disgust, fear, negative, sadness
blood	447	
first	444	
commanded	443	
side	442	
peace	429	anticipation, joy, positive, trust
without	426	
sword	424	
mouth	423	surprise
work	420	
flesh	420	disgust
can	419	
saul	419	
gold	417	positive
face	416	
high	416	
themselves	409	
wife	405	
found	402	joy, positive, trust
brother	402	positive, trust
glory	402	anticipation, joy, positive, trust
where	401	
sea	400	positive
fear	400	anger, fear, negative
priests	399	
water	396	
under	392	
old	381	
altar	378	
jacob	376	
death	372	anger, anticipation, disgust, fear, negative, sadness, surprise
year	369	
drink	369	
until	366	
burnt	366	disgust, negative
midst	364	
woman	364	
head	364	
dead	364	
congregation	364	positive, trust
keep	362	
both	361	
bread	361	
right	359	
none	358	
wherefore	348	
left	348	
aaron	347	
toward	346	
five	345	
wicked	344	fear, negative
kingdom	342	
yea	340	
kings	340	
stood	339	
taken	338	
dwell	338	
nations	336	
sight	333	
same	332	
been	331	
four	328	
cause	328	
tabernacle	328	
daughter	326	joy, positive
die	321	fear, negative, sadness
cut	320	
silver	320	
round	320	
mother	315	anticipation, joy, negative, positive, sadness, trust
whose	314	
pray	313	anticipation, fear, joy, positive, surprise, trust
love	311	joy, positive
night	307	
end	307	
righteousness	305	
wilderness	304	anticipation, fear, sadness
solomon	304	
blessed	302	joy, positive
young	300	
hosts	299	
deliver	296	
twenty	294	
judgment	294	surprise
covenant	292	positive, trust
babylon	292	
field	291	
being	291	
meat	290	
delivered	290	
world	288	
waters	287	
turned	287	
spoken	287	
much	287	
surely	284	
mighty	284	anger, fear, joy, positive, trust
turn	283	
chief	283	
told	282	
why	282	
cometh	282	
seed	280	
laid	279	
iniquity	278	disgust, negative
seen	277	
written	277	
mercy	276	positive
rest	275	positive
gate	275	trust
